dishId,cluster,ingredientName
13962,1,"['蒜頭', '西洋芹', '蝦子']"
13966,2,"['雞蛋', '甜椒', '洋蔥', '玉米', '花椰菜', '起司', '牛奶']"
13981,1,"['薑', '麵線', '雞蛋', '雞肉', '紹興酒']"
14004,0,"['雞蛋', '低筋麵粉']"
14005,4,"['雞蛋豆腐', '蔥', '鹹蛋', '蒜頭']"
14012,4,"['牛小排', '雞蛋', '蔥', '蒜頭', '紹興酒', '太白粉']"
14015,4,"['芋頭', '雞腿', '蔥', '薑', '紹興酒', '高湯']"
14064,1,"['青江菜', '白飯', '里肌肉', '雞蛋']"
14075,1,"['小黃瓜', '蒜頭']"
14076,1,"['雞腿', '九層塔', '蒜頭']"
14080,0,"['雞蛋', '起司', '鰹魚片']"
14107,3,"['雞肉', '地瓜', '豆腐乳']"
14110,4,"['紅蘿蔔', '馬鈴薯', '洋蔥', '雞腿', '太白粉']"
14111,2,"['鯛魚', '洋蔥', '蒜頭', '薑', '紹興酒', '太白粉']"
14148,3,"['紹興酒', '蔥', '米', '臘腸']"
14171,1,"['雞蛋', '海苔', '白飯', '番茄']"
14173,4,"['馬鈴薯', '火腿', '雞蛋', '花椰菜', '義大利麵']"
14175,1,"['薑', '蒜頭', '蝦子', '紹興酒']"
14176,1,"['麵線', '杏鮑菇', '香菇', '薑', '枸杞', '紹興酒', '鰹魚']"
14179,0,"['中筋麵粉', '酵母', '泡打粉', '奶粉', '豬肉', '香菇', '竹筍']"
14181,4,"['蝦子', '蔥', '薑', '餛飩']"
14206,4,"['馬鈴薯', '蔥', '香菜', '紹興酒']"
14209,4,"['蛋餃', '洋蔥', '紅蘿蔔', '馬鈴薯', '奶粉']"
14212,0,"['中筋麵粉', '泡打粉', '牛奶', '優格', '雞蛋', '葡萄乾']"
14228,0,"['雞蛋', '牛奶', '低筋麵粉', '檸檬']"
14258,4,"['蝦子', '冬粉', '蔥', '薑', '紹興酒', '太白粉']"
14297,1,"['南瓜', '培根', '義大利麵']"
14302,4,"['地瓜', '薑', '太白粉']"
14305,2,"['高麗菜', '豬絞肉', '薑', '蒜頭', '蔥']"
14309,2,"['雞腿', '馬鈴薯', '洋蔥', '紅蘿蔔', '番茄', '蒜頭', '蔥', '高湯', '義大利麵']"
14351,2,"['九層塔', '淡菜', '義大利麵', '白酒', '甜椒', '蒜頭', '培根']"
14381,1,"['臘腸', '米', '青江菜', '蒜頭']"
14403,1,"['小黃瓜', '雞腿', '蒜頭', '紹興酒']"
14413,0,"['高筋麵粉', '酵母', '起司']"
14426,2,"['年糕', '泡菜', '茄子', '蘿美生菜', '菠菜']"
14436,1,"['糯米', '紹興酒', '薑', '雞腿']"
14442,4,"['糯米', '肉絲', '芋頭', '魷魚', '薑', '蝦子', '香菇', '紹興酒']"
14461,4,"['蝦子', '香菜', '蔥', '薑', '冬粉', '紹興酒']"
14465,1,"['菠菜', '豆腐', '鮑魚', '雞蛋']"
14466,2,"['雞腿', '番茄', '洋蔥', '洋菇', '培根', '香腸', '紅酒', '高湯', '蒜頭', '馬鈴薯']"
14467,3,['米']
14468,0,"['高筋麵粉', '低筋麵粉', '酵母', '洛神', '蔓越莓']"
14471,0,"['高筋麵粉', '低筋麵粉', '酵母', '雞蛋', '牛奶']"
14473,0,"['雞蛋', '牛奶', '低筋麵粉']"
14485,0,"['吐司', '雞蛋', '火腿', '起司']"
14489,4,"['馬鈴薯', '牛奶', '花椰菜']"
14490,3,"['雞胸肉', '檸檬', '雞蛋', '太白粉']"
14504,4,"['肋排', '蒜頭', '薑', '蔥', '太白粉']"
14506,4,"['雞胸肉', '花生', '蒜頭', '蔥', '薑', '紹興酒', '太白粉']"
14507,4,"['雞蛋', '杏鮑菇', '蔥', '紅蘿蔔', '鰹魚粉', '高湯']"
14509,4,"['軟絲', '蔥', '薑', '蒜頭']"
14517,1,"['軟絲', '洋蔥', '蒜頭']"
14518,4,"['南瓜', '鹹蛋', '蔥', '蒜頭', '高湯']"
14520,3,['豬五花肉']
14529,2,"['里肌肉', '蔥', '蒜頭', '紅蘿蔔', '蔭瓜', '雞蛋', '紹興酒']"
14536,1,"['雞肉', '蜜棗', '牛蒡', '杏鮑菇', '紅棗', '枸杞']"
14537,2,"['牛小排', '紅蘿蔔', '白蘿蔔', '薑']"
